id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
1040;111205;Shampooing après traitement poux & lentes Coslys 250ML;https://www.etiketbio.eu/cheveux/24760-shampooing-preventif-poux-lentes-230ml-3538396155303.html;SHAMPOOING PREVENTIF POUX & LENTES 230ML;3538396155303;;257;2026-08-13 09:39:57
1329;111224;Muesli croustillant amande et vanille Favrichon 450g;https://www.etiketbio.eu/muesli-nature/25038-favrichon-muesli-croustillant-amande-vanille-450gr-3111900350915.html;Muesli amande vanille bio 450g Favrichon;3111900350915;;590;2026-08-13 10:34:14
1309;111537;Céréales Bombs chocolat Favrichon 350g;https://www.etiketbio.eu/cereale-soufflee/25036-favrichon-crosti-bombs-choco-s-gluten-350g-3111900330146.html;Crosti Bombs Choco Favrichon 350g;3111900330146;;456;2026-08-13 10:29:42
1320;111853;Muesli croustillant nature Favrichon 1kg;https://www.etiketbio.eu/muesli-nature/19511-muesli-croustillant-intensement-nature-1kg-3111900410008.html;Muesli croustillant nature bio 1kg Favrichon;3111900410008;;794;2026-08-13 10:32:05
1321;111854;Muesli croustillant cacao Favrichon 1kg;https://www.etiketbio.eu/muesli-au-chocolat-bio/19485-favrichon-muesli-croustillant-intensement-chocolat-1kg-3111900410015.html;Muesli chocolat bio 1kg Favrichon;3111900410015;;467;2026-08-13 10:32:15
86;111970;Macaroni demi complet cuisson rapide Priméal 500g;https://www.etiketbio.eu/pate-demi-complete/8270-primeal-macaronis-1-2-complets-100-france-500g-3380390187404.html;Macaronis demi-complets bio 500g Priméal France;3380390187404;;312;2026-08-12 13:02:21
2262;112983;Huile essentielle lavande aspic Herbes et Tradition 30ml;https://www.etiketbio.eu/piqures/26857-huile-esentielle-lavande-aspic-30ml-3700006521697.html;Huile essentielle lavande aspic 30ml;3700006521697;;489;2026-08-13 12:59:43
1034;113002;Crème lavante dermatologique surgras Coslys 1l;https://www.etiketbio.eu/gels-douche/24777-coslys-creme-lavante-dermatologique-85ml-3538396601305.html;Crème lavante dermatologique Coslys 85 ml;3538396601305;;567;2026-08-13 09:38:50
2;113057;Lait de coco Priméal 400ml;https://www.etiketbio.eu/lait-de-coco-bio/15184-primeal-lait-de-coco-400ml-3380380083631.html;Lait de Coco Bio 400ml – Priméal;3380380083631;;774;2026-08-12 12:52:52
1913;113419;Sauce tomate à l'ail rôti Prosain 360g;https://www.etiketbio.eu/sauce-tomate-preparee/25223-prosain-sauce-tomate-a-lail-roti-360gr-3335880007267.html;Sauce tomate ail rôti Prosain 360g;3335880007267;;684;2026-08-13 12:22:08
38;11413;Quinoa real Priméal 1kg;https://www.etiketbio.eu/quinoa-bio/8312-primeal-quinoa-real-blanc-1kg-3380390410304.html;Quinoa real blanc Priméal 1kg;3380390410304;;708;2026-08-12 12:55:36
457;114335;Chocolat noir cranberries Kaoka 100g;https://www.etiketbio.eu/chocolat-noir-bio/28508-chocolat-noir-cranberrie-58-100gr-kao-3477730001787.html;Chocolat noir cranberrie 58% 100gr;3477730001787;;336;2026-08-13 07:38:43
1240;11458;Miso cube original Danival 8X10g;https://www.etiketbio.eu/miso-bio/9334-danival-miso-cube-original-8x10g-3431590013854.html;Miso cube original 8x10g;3431590013854;;686;2026-08-13 10:15:00
568;11479;Sucre de canne complet poudre Destination 750g;https://www.etiketbio.eu/sucres/21852-destination-sucre-complet-750g-3700110004420.html;Sucre complet 750g;3700110004420;;241;2026-08-13 07:55:07
437;114793;Chocolat noir oranges, amandes et noisettes Kaoka 180g;https://www.etiketbio.eu/chocolat-noir-bio/30381-tablette-chocolat-noir-66-oranges-confites-acandes-et-noisettes-180g-kaoka-3477730051065.html;TABLETTE CHOCOLAT NOIR 66% ORANGES CONFITES ACANDES ET...;3477730051065;;302;2026-08-13 07:38:41
2326;11498;Saumon au naturel Phare d'Eckmühl 93g;https://www.etiketbio.eu/saumon-et-poissons/28707-saumon-au-naturel-132g-3263670725612.html;Saumon au naturel 132g;3263670725612;;345;2026-08-13 13:21:08
2456;11548;Farine de châtaigne Markal 500g;https://www.etiketbio.eu/farine-de-chataigne-bio/12348-markal-farine-de-chataigne-500g-3329486541201.html;Farine de châtaigne 500g Markal;3329486541201;;1000;2026-08-13 13:37:01
1139;115620;Fleur de Bach n°14 bruyères Deva 15ml;https://www.etiketbio.eu/fleur-de-bach/30963-fleur-de-bach-bruyere-n14-deva-15ml-3760102775660.html;Fleur de Bach Bruyère n°14 DEVA 15ml;3760102775660;;845;2026-08-13 09:58:09
1181;115653;Fleur de Bach n°32 vigne Deva 15ml;https://www.etiketbio.eu/fleur-de-bach/30996-fleur-de-bach-vigne-n32-deva-15ml-3760102775998.html;Fleur de Bach Vigne n°32 DEVA 15ml;3760102775998;;1000;2026-08-13 10:00:44
744;115894;Thé noir Breakfast Elibio 200g;https://www.etiketbio.eu/the-noir-bio/25938-elibio-the-noir-beakfast-200g-3760294960394.html;The noir beakfast 200g Elibio;3760294960394;;786;2026-08-13 08:40:07
1180;11596;Shampooing bio Régénérateur Cheveux Abimés Dermaclay 250ML;https://www.etiketbio.eu/shampooing/24500-dermaclay-shampooing-bio-regenerateur-250ml-3567730300147.html;Shampooing bio regenerateur 250ml;3567730300147;;414;2026-08-13 10:00:35
1218;116291;Vinaigre de riz Danival 250ml;https://www.etiketbio.eu/vinaigres/26973-vinaigre-de-riz-250ml-3431590015322.html;Vinaigre de Riz 250ml Danival;3431590015322;;1000;2026-08-13 10:10:26
2352;116295;Petites sardines de méditerranée à l'huile d'olive Phare d'Eckmühl 100g;https://www.etiketbio.eu/poissons/28750-petite-sardines-mediterranee-olive-100gr-3263670798524.html;Petites sardines olive Phare d’Eckmühl;3263670798524;;282;2026-08-13 13:23:29
1081;116349;Feuilles de thym Cook 60g;https://www.etiketbio.eu/herbes-aromates-bio/25899-cook-thym-feuilles-60gr-3417960045083.html;Thym feuilles bio Cook 60g;3417960045083;;690;2026-08-13 09:45:19
1117;116350;Curry en poudre écorecharde Cook 100g;https://www.etiketbio.eu/epices-en-poudre-bio/30767-eco-recharge-coriandre-moulue-30g-cook-arcadie-3417960041993.html;Coriandre moulue bio Cook 30g;3417960041993;;91;2026-08-13 09:51:55
2341;116359;Thon blanc au naturel Phare d'Eckmühl 160g;https://www.etiketbio.eu/thon-bio-en-conserves/25852-phare-deckmuhl-thon-germon-au-naturel-112gr-3263670793956.html;Thon germon naturel Phare d’Eckmühl;3263670793956;;411;2026-08-13 13:22:19
1332;116498;Muesli avoine chocolat Favrichon 450g;https://www.etiketbio.eu/muesli-au-chocolat-bio/25581-favrichon-muesli-avoine-chocolat-450gr-3111900350922.html;Muesli avoine chocolat 450gr;3111900350922;;498;2026-08-13 10:35:21
458;11653;Café pur arabica soluble Destination 200g;https://www.etiketbio.eu/cafe-soluble/21235-destination-cafe-lyophilise-100-arabica-200g-3700110004901.html;Cafe lyophilise 100 arabica 200g;3700110004901;;301;2026-08-13 07:38:45
751;116572;Préparation à la fraise Elibio 340g;https://www.etiketbio.eu/confiture-de-fruits-rouges/25943-elibio-preparation-fraise-340gr-3760294961445.html;Preparation fraise 340gr;3760294961445;;260;2026-08-13 08:43:28
