id;code_interne;description_originale;lien_href;description_h2;ean;brand_score;desc_score;date_recherche
602;19740;Muesli aux fruits Grillon d'Or 1kg;https://www.etiketbio.eu/muesli-aux-fruits/9015-grillon-dor-muesli-fruits-1kg-3421557108099.html;Muesli fruits bio 1kg Grillon d’Or;3421557108099;;758;46247,33979
561;19751;Tomates pelées Luce 800g;https://www.etiketbio.eu/tomates-bio-en-conserve/22759-luce-tomates-pelees-metal-800gr-3329489901590.html;Tomates pelées bio Luce 800g;3329489901590;;738;46247,32944
1140;20072;Coenzyme Q10 Diet Horizon 60 capsules;https://www.etiketbio.eu/coenzyme-q10/11249-diet-horizon-coenzyme-q10-60caps-5060072731368.html;Coenzyme Q10 Diet Horizon 60 caps;5060072731368;;786;46247,41567
1184;20115;Baume fondant pour le corps Dermaclay 300ml;https://www.etiketbio.eu/lait-pour-le-corps/24524-dermaclay-baume-fondant-pour-le-corps-300ml-3567730800319.html;Baume fondant pour le corps 300ml;3567730800319;;744;46247,41804
560;20240;Pesto siciliano Luce 190g;https://www.etiketbio.eu/pesto-bio/20097-luce-pesto-siciliano-190g-3329489900319.html;Pesto siciliano 190g;3329489900319;;667;46247,32926
1470;20377;Crème balsamique Emile Noël 150ml;https://www.etiketbio.eu/vinaigre-balsamique-bio/7352-emile-noel-creme-balsamique-150ml-3291960003959.html;Crème balsamique bio 150ml – Émile Noël;3291960003959;;786;46247,45164
217;20394;Sucre de canne complet Rapadura Rapunzel 1kg;https://www.etiketbio.eu/sucre-de-canne-bio/22376-rapunzel-rapadura-sucre-de-canne-complet-1kg-4006040301097.html;Rapadura sucre de canne complet 1kg;4006040301097;;759;46246,63578
221;20403;Arachides coques grillées Rapunzel 500g;https://www.etiketbio.eu/fruits-secs-snacking-bio/22540-rapunzel-arachides-coques-grillees-500g-4006040031260.html;Arachides coques grillees 500g;4006040031260;;696;46246,63615
158;20516;Protéines de soja texturées Priméal 200g;https://www.etiketbio.eu/soja-bio-/8299-primeal-proteines-de-soja-texturees-fin-200g-3380390221511.html;Proteines de soja texturees fin 200g;3380390221511;;746;46246,55242
1208;20650;Raviolis ricotta épinards Danival 670g;https://www.etiketbio.eu/plats-prepares/12431-danival-raviolis-ricotta-epinards-670g-3431590001912.html;Raviolis ricotta/epinards 670g;3431590001912;;706;46247,42128
78;21012;Tagliatelles curcuma pavot Priméal 250g;https://www.etiketbio.eu/specialites/19495-primeal-tagliatelles-curcuma-pavot-250g-3380390169516.html;Tagliatelles curcuma pavot 250g;3380390169516;;709;46246,54215
159;21013;Purée de tomates Priméal 3X200g;https://www.etiketbio.eu/sauce-tomate-nature/7998-primeal-puree-de-tomates-3x200g-3380380057250.html;Purée de tomates bio Priméal 3x200g;3380380057250;;783;46246,55249
368;21151;Crusty fromage graines de courge Pural 200g;https://www.etiketbio.eu/biscuits-aperitif/11095-puraliment-crusty-fromage-graines-de-courge-200g-4033634061020.html;CRUSTY FROMAGE GRAINES DE COURGE 200G;4033634061020;;793;46246,6469
104;21515;Haricots coco cuisinés Priméal 680g;https://www.etiketbio.eu/plats-prepares/13383-primeal-haricots-coco-cuisines-680g-3700477609139.html;Haricots coco cuisines 680g;3700477609139;;697;46246,54594
1316;22020;Barre pomme cannelle Evernat 3x25g;https://www.etiketbio.eu/barre-de-fruits-secs/8610-evernat-barre-pomme-cannelle-3x25g-3396411217128.html;Barre pomme cannelle 3x25g;3396411217128;;693;46247,43836
623;22203;Thé vert Matcha en poudre Aromandise 50g;https://www.etiketbio.eu/matcha-bio/28895-poudre-the-vert-bio-matcha-3560467100042.html;Thé Vert Matcha Bio en poudre 50g;3560467100042;;728;46247,3485
491;22259;Thé noir darjeeling été Destination 100g;https://www.etiketbio.eu/the-noir-bio/21257-destination-the-noir-legende-darjeeling-100g-3700110008305.html;Thé noir Darjeeling Destination 100g;3700110008305;;789;46247,32235
1982;22333;Lentilles vertes Prosain 660g;https://www.etiketbio.eu/lentilles-bio-en-conserve/7781-prosain-lentilles-vertes-cuisinees-aux-legumes-660g-3335880006031.html;Lentilles vertes bio Prosain 660g;3335880006031;;748;46247,52216
228;22880;Beurre de cacahuète Rapunzel 500g;https://www.etiketbio.eu/puree-de-cacahuete/10822-rapunzel-beurre-de-cacahuete-500g-4006040000563.html;Beurre de cacahuète 500g bio - Rapunzel;4006040000563;;786;46246,63719
2400;22915;Sésame noir Markal 250g;https://www.etiketbio.eu/graines-de-sesame-bio/17537-markal-sesame-noir-250g-3329488572500.html;Sésame noir bio 250g - Markal;3329488572500;;736;46247,56205
8;23853;Mini galettes maïs romarin Priméal 50g;https://www.etiketbio.eu/biscuits-aperitif/8060-primeal-mini-galettes-mais-romarin-50g-3380380068560.html;Mini galettes mais romarin 50g;3380380068560;;735;46246,53709
1921;24304;Sauce Pomodoro Prosain 295g;https://www.etiketbio.eu/sauce-tomate-nature/7801-prosain-sauce-pomodoro-tomate-coeur-de-boeuf-et-petits-legumes-295g-3335880007205.html;Sauce Pomodoro bio Prosain 295g;3335880007205;;745;46247,51771
2185;24306;Sauce puttanesca Prosain 295g;https://www.etiketbio.eu/sauce-tomate-preparee/7803-prosain-sauce-puttanesca-295g-3335880007229.html;Sauce Puttanesca bio Prosain 295g;3335880007229;;748;46247,52947
1922;24307;Sauce arrabbiata Prosain 295g;https://www.etiketbio.eu/sauce-tomate-preparee/7802-prosain-sauce-arrabbiata-295g-3335880007212.html;Sauce Arrabbiata bio Prosain 295g;3335880007212;;748;46247,51791
117;24536;Levure de bière à paillettes Priméal 175g;https://www.etiketbio.eu/levures-alimentaires/8065-levure-de-biere-paillette-175g-primeal-3380380070266.html;Levure de bière paillettes bio 175g Priméal;3380380070266;;796;46246,54748
2289;24555;Farine de blé blanche T55 Markal 1kg;https://www.etiketbio.eu/farines-de-ble/15463-markal-farine-de-ble-t55-1kg-3329486191123.html;Farine de blé T55 1kg - Markal;3329486191123;;750;46247,55367
1031;24733;Gel lavant mains pomme Coslys 1L;https://www.etiketbio.eu/savons/24773-coslys-gel-lavant-mains-pomme-bio-1l-3538396518207.html;Gel lavant mains pomme bio 1l;3538396518207;;738;46247,40138
2132;25058;Korma de légumes Prosain 680g;https://www.etiketbio.eu/plats-prepares/12368-prosain-korma-de-legumes-680g-3335880006192.html;Korma de legumes 680g;3335880006192;;672;46247,52608
486;25168;Thé noir breakfast Destination x50 sachets;https://www.etiketbio.eu/the-noir-bio/24405-destination-the-noir-breakfast-50x2gr-ft-3700110055651.html;Thé noir Breakfast Destination x50;3700110055651;;746;46247,32117
567;26133;Petits Pois Carottes Luce 400g;https://www.etiketbio.eu/petits-pois-bio-en-conserve/22751-luce-petits-pois-carottes-400g-3329489900630.html;Petits pois carottes 400g;3329489900630;;727;46247,32984
1672;26468;Cocktail orange carotte citron Vitamont 20cl;https://www.etiketbio.eu/jus-d-orange-et-agrumes/7258-vitamont-tetra-cocktail-orange-carotte-citron-20cl-3289196260383.html;Tetra cocktail orange carotte citron 20cl;3289196260383;;745;46247,4977
640;26949;Boisson riz épeautre amande Bonneterre 1L;https://www.etiketbio.eu/boisson-a-l-amande-bio/8658-bonneterre-boisson-riz-epeautre-amande-1l-3396411221323.html;Boisson riz epeautre amande 1l;3396411221323;;704;46247,35395
